"","kgut","GFR_base","eta_ptKreab_base","eta_LoHKreab","eta_ptKreab_highK","dtKsec_eq","A_dtKsec","B_dtKsec","alpha_TGF","A_cdKreab","ALD_eq","m_K_ALDO","FF","A_insulin","alpha_al","beta_al"
"1",44.5870809690797,-18.6988850058634,19.3949584306058,50.6483398673558,315.630163362563,-56.8891913917251,-119.810677730995,-113.230022828901,-15.8601390829521,147.787002406166,52.6324418781516,27.2513497442204,-78.7233836278335,-25.5876791929622,69.0918482930941,39.9472903408053
"2",69.0117321788472,-34.461587359859,15.4168711062879,87.1908586172179,71.0411033233058,-69.3597856745265,-152.570758470723,-86.1778306114268,10.8894546014656,65.6626626394749,28.3692565118066,-2.75969285408835,-154.012440381731,-9.06148067449383,73.1042126112715,33.6376732115642
"3",148.54052143607,-11.5895406008967,23.169043872253,85.4228406423064,267.241915410894,-87.8059172281264,-240.438243634268,-337.100913478132,-5.98376882637518,92.1917148359042,7.33068042508429,18.5045713426299,-230.806475812319,-2.94637083895464,37.8048550051374,75.8583341164466
"4",66.8100079454559,-25.1532347623426,38.4945558952829,55.5445867460271,145.121738588232,-67.4607278647414,-72.8035106245734,-80.1722539622691,-8.59792599876238,99.0356011043269,30.933212785854,5.41688774191416,-97.2220029944973,-8.1924243863606,84.0563213861455,48.8776895839463
"5",156.130148284817,-32.2458488124597,3.73024316739271,59.3907952922117,136.682088798587,-110.511243107619,-143.119444748842,-234.984786321745,-5.31918364982697,75.3205479553442,1.81290681592379,33.5752848200645,-103.316393450409,-18.641026645356,103.584215367974,47.8194409376506
"6",99.1332945731948,-15.3107985533166,21.0229147955342,35.0767883112355,106.640818130625,-73.977365129105,-84.9942592453178,-76.9430196424707,-0.835589857798726,76.3887298424606,-19.581327015229,4.47238684917813,-236.784637429049,-9.42287915747377,93.8007425883593,39.0572091887657
"7",251.538308770146,-16.9353360073686,104.314946459979,75.0755439379164,421.074486187197,-73.9855420049828,-186.362033445567,-284.03035731152,-11.4047322526988,122.478246217617,30.7556910129484,111.935578054124,-228.994781936167,16.6541266954125,79.2083041840413,70.3612318239207
"8",170.387915699771,-25.9096815116208,8.20405829562347,49.2621080491031,60.6246609741417,-51.6337952783274,-132.216765254906,-100.319717705808,-1.04299134686192,142.566965877084,21.1189999831296,35.2739746430334,-93.6494430437617,16.639629150286,66.1724512567881,3.30661450168286
"9",125.541330324898,-8.28442736442123,5.65073196230061,23.6686356015821,110.973801725507,-92.2133322379133,-203.143404778231,-355.70271146631,1.91706337137652,84.0246398245896,-1.20257102833613,3.19623870032983,-189.220095845414,12.0471620554815,52.6665530038981,46.4464208046594
"10",40.5702516866904,-52.031916577282,72.2751329603351,47.3818858737507,122.46433757733,-81.444894503677,-141.969840991965,-116.411969758446,4.88188271881315,125.383633208928,55.8737105957858,65.9893505001562,-104.278646155347,-14.2873948612013,48.2044230102096,59.9923062160357
